hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
DET,HOU,0.44855888659916276,0.5514411134008372,8.0,Casey Mize,Framber Valdez,2024-05-10T22:40:00.0000000Z
PIT,CHC,0.5634920623536956,0.4365079376463043,7.0,Jared Jones,Javier Assad,2024-05-10T22:40:00.0000000Z
TB,NYY,0.44855888659916276,0.5514411134008372,8.0,Taj Bradley,Clarke Schmidt,2024-05-10T22:50:00.0000000Z
BAL,ARI,0.5514411134008372,0.4485588865991628,8.0,Cole Irvin,Brandon Pfaadt,2024-05-10T23:05:00.0000000Z
TOR,MIN,0.5217391295274103,0.47826087047258975,7.5,Yusei Kikuchi,Joe Ryan,2024-05-10T23:07:00.0000000Z
MIA,PHI,0.355270821500165,0.644729178499835,7.5,Trevor Rogers,Ranger Suarez,2024-05-10T23:10:00.0000000Z
NYM,ATL,0.4170073603834652,0.5829926396165348,8.0,Jose Quintana,Charlie Morton,2024-05-10T23:10:00.0000000Z
BOS,WAS,0.644729178499835,0.35527082150016503,8.5,Tanner Houck,Patrick Corbin,2024-05-10T23:10:00.0000000Z
CWS,CLE,0.5,0.5,7.5,Garrett Crochet,Carlos Carrasco,2024-05-10T23:40:00.0000000Z
MIL,STL,0.5514411134008372,0.4485588865991628,8.5,,Lance Lynn,2024-05-11T00:10:00.0000000Z
COL,TEX,0.3775334495818208,0.6224665504181792,10.0,Austin Gomber,Jon Gray,2024-05-11T00:40:00.0000000Z
LAA,KC,0.4675324675324676,0.5324675324675324,8.5,Griffin Canning,Alec Marsh,2024-05-11T01:38:00.0000000Z
SD,LAD,0.39076376684029035,0.6092362331597097,8.0,Michael King,Tyler Glasnow,2024-05-11T01:40:00.0000000Z
SEA,OAK,0.5634920623536956,0.4365079376463043,7.5,Bryan Woo,Paul Blackburn,2024-05-11T01:40:00.0000000Z
SF,CIN,0.5829926396165348,0.41700736038346525,7.5,Logan Webb,Andrew Abbott,2024-05-11T02:15:00.0000000Z
